GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4,Date,Time,Winner/tie,Unnamed: 18,Loser/tie
200009030mia,1,Sun,2000-09-03,Seahawks,0,0,0,0,2000,Dolphins,10,13,0,0,9/3/2000,4:16PM,Miami Dolphins,,Seattle Seahawks
200009030gnb,1,Sun,2000-09-03,Jets,7,3,0,10,2000,Packers,7,3,3,3,9/3/2000,4:20PM,New York Jets,@,Green Bay Packers
200009030buf,1,Sun,2000-09-03,Titans,0,6,0,7,2000,Bills,0,7,3,6,9/3/2000,8:35PM,Buffalo Bills,,Tennessee Titans
200009040ram,1,Mon,2000-09-04,Broncos,7,10,10,9,2000,Rams,7,14,14,6,9/4/2000,9:07PM,St. Louis Rams,,Denver Broncos
200009100min,2,Sun,2000-09-10,Dolphins,0,0,0,7,2000,Vikings,3,0,0,10,9/10/2000,12:00PM,Minnesota Vikings,,Miami Dolphins
200009100cin,2,Sun,2000-09-10,Browns,7,7,3,7,2000,Bengals,0,7,0,0,9/10/2000,1:00PM,Cleveland Browns,@,Cincinnati Bengals
200009100clt,2,Sun,2000-09-10,Raiders,0,7,24,7,2000,Colts,14,10,0,7,9/10/2000,1:00PM,Oakland Raiders,@,Indianapolis Colts
200009100tam,2,Sun,2000-09-10,Bears,0,0,0,0,2000,Buccaneers,0,20,14,7,9/10/2000,1:01PM,Buffalo Bills,,Green Bay Packers
200009100buf,2,Sun,2000-09-10,Packers,0,0,10,8,2000,Bills,0,10,10,7,9/10/2000,1:01PM,Tampa Bay Buccaneers,,Chicago Bears
200009100rav,2,Sun,2000-09-10,Jaguars,17,6,3,10,2000,Ravens,0,7,15,17,9/10/2000,1:02PM,New York Giants,@,Philadelphia Eagles
200009100phi,2,Sun,2000-09-10,Giants,3,17,7,6,2000,Eagles,0,3,9,6,9/10/2000,1:02PM,Baltimore Ravens,,Jacksonville Jaguars
200009100oti,2,Sun,2000-09-10,Chiefs,0,7,0,7,2000,Titans,0,7,0,7,9/10/2000,1:03PM,Tennessee Titans,,Kansas City Chiefs
200009100sdg,2,Sun,2000-09-10,Saints,7,6,6,9,2000,Chargers,3,21,0,3,9/10/2000,4:15PM,New Orleans Saints,@,San Diego Chargers
200009100sfo,2,Sun,2000-09-10,Panthers,14,14,10,0,2000,49ers,0,0,7,15,9/10/2000,4:15PM,Carolina Panthers,@,San Francisco 49ers
200009100sea,2,Sun,2000-09-10,Rams,3,10,7,17,2000,Seahawks,3,7,10,14,9/10/2000,4:15PM,St. Louis Rams,@,Seattle Seahawks
200009100det,2,Sun,2000-09-10,Redskins,0,7,3,0,2000,Lions,3,3,3,6,9/10/2000,4:16PM,Detroit Lions,,Washington Redskins
200009100den,2,Sun,2000-09-10,Falcons,0,7,7,0,2000,Broncos,13,21,8,0,9/10/2000,4:16PM,Denver Broncos,,Atlanta Falcons
200009100crd,2,Sun,2000-09-10,Cowboys,7,14,3,7,2000,Cardinals,3,10,10,9,9/10/2000,8:35PM,Arizona Cardinals,,Dallas Cowboys
200009110nyj,2,Mon,2000-09-11,Patriots,3,9,0,7,2000,Jets,7,0,0,13,9/11/2000,9:09PM,New York Jets,,New England Patriots
200009170jax,3,Sun,2000-09-17,Bengals,0,0,0,0,2000,Jaguars,10,0,0,3,9/17/2000,1:02PM,Jacksonville Jaguars,,Cincinnati Bengals
200009170cle,3,Sun,2000-09-17,Steelers,0,10,10,0,2000,Browns,14,0,3,6,9/17/2000,1:02PM,Atlanta Falcons,@,Carolina Panthers
200009170gnb,3,Sun,2000-09-17,Eagles,0,3,0,0,2000,Packers,0,0,3,3,9/17/2000,1:02PM,St. Louis Rams,,San Francisco 49ers
200009170car,3,Sun,2000-09-17,Falcons,3,7,0,5,2000,Panthers,0,10,0,0,9/17/2000,1:02PM,Green Bay Packers,,Philadelphia Eagles
200009170ram,3,Sun,2000-09-17,49ers,7,10,0,7,2000,Rams,3,14,7,17,9/17/2000,1:02PM,Cleveland Browns,,Pittsburgh Steelers
200009170nyj,3,Sun,2000-09-17,Bills,7,7,0,0,2000,Jets,7,14,3,3,9/17/2000,1:03PM,New York Jets,,Buffalo Bills
200009170det,3,Sun,2000-09-17,Buccaneers,14,7,3,7,2000,Lions,3,7,0,0,9/17/2000,1:06PM,Tampa Bay Buccaneers,@,Detroit Lions
200009170chi,3,Sun,2000-09-17,Giants,7,0,7,0,2000,Bears,0,7,0,0,9/17/2000,3:16PM,New York Giants,@,Chicago Bears
200009170rai,3,Sun,2000-09-17,Broncos,17,7,3,6,2000,Raiders,7,17,0,0,9/17/2000,4:05PM,Denver Broncos,@,Oakland Raiders
200009170kan,3,Sun,2000-09-17,Chargers,10,0,0,0,2000,Chiefs,0,14,14,14,9/17/2000,4:05PM,Kansas City Chiefs,,San Diego Chargers
200009170sea,3,Sun,2000-09-17,Saints,7,3,0,0,2000,Seahawks,7,0,3,10,9/17/2000,4:15PM,Minnesota Vikings,@,New England Patriots
200009170nwe,3,Sun,2000-09-17,Vikings,7,14,0,0,2000,Patriots,7,0,0,6,9/17/2000,4:15PM,Seattle Seahawks,,New Orleans Saints
200009170mia,3,Sun,2000-09-17,Ravens,0,0,3,3,2000,Dolphins,3,3,7,6,9/17/2000,8:36PM,Miami Dolphins,,Baltimore Ravens
200009180was,3,Mon,2000-09-18,Cowboys,7,7,3,10,2000,Redskins,7,0,7,7,9/18/2000,9:01PM,Dallas Cowboys,@,Washington Redskins
200009240pit,4,Sun,2000-09-24,Titans,10,0,3,10,2000,Steelers,3,3,0,14,9/24/2000,1:01PM,Tennessee Titans,@,Pittsburgh Steelers
200009240rav,4,Sun,2000-09-24,Bengals,0,0,0,0,2000,Ravens,10,14,3,10,9/24/2000,1:02PM,Baltimore Ravens,,Cincinnati Bengals
200009240chi,4,Sun,2000-09-24,Lions,7,7,0,7,2000,Bears,0,0,14,0,9/24/2000,1:02PM,Philadelphia Eagles,@,New Orleans Saints
200009240nor,4,Sun,2000-09-24,Eagles,0,14,7,0,2000,Saints,7,0,0,0,9/24/2000,1:02PM,St. Louis Rams,@,Atlanta Falcons
200009240atl,4,Sun,2000-09-24,Rams,3,14,10,14,2000,Falcons,7,6,0,7,9/24/2000,1:02PM,Detroit Lions,@,Chicago Bears
200009240mia,4,Sun,2000-09-24,Patriots,0,3,0,0,2000,Dolphins,0,10,0,0,9/24/2000,1:03PM,Miami Dolphins,,New England Patriots
200009240dal,4,Sun,2000-09-24,49ers,3,14,10,14,2000,Cowboys,0,10,0,14,9/24/2000,1:05PM,San Francisco 49ers,@,Dallas Cowboys
200009240crd,4,Sun,2000-09-24,Packers,7,10,6,6,2000,Cardinals,0,3,0,0,9/24/2000,4:06PM,Green Bay Packers,@,Arizona Cardinals
200009240tam,4,Sun,2000-09-24,Jets,3,3,0,15,2000,Buccaneers,3,7,7,0,9/24/2000,4:15PM,New York Jets,@,Tampa Bay Buccaneers
200009240sdg,4,Sun,2000-09-24,Seahawks,10,3,7,0,2000,Chargers,6,6,0,0,9/24/2000,4:15PM,Seattle Seahawks,@,San Diego Chargers
200009240den,4,Sun,2000-09-24,Chiefs,7,0,7,9,2000,Broncos,3,9,10,0,9/24/2000,4:16PM,Kansas City Chiefs,@,Denver Broncos
200009240rai,4,Sun,2000-09-24,Browns,7,0,3,0,2000,Raiders,7,21,0,8,9/24/2000,4:17PM,Oakland Raiders,,Cleveland Browns
200009240nyg,4,Sun,2000-09-24,Redskins,0,10,6,0,2000,Giants,0,0,0,6,9/24/2000,8:37PM,Washington Redskins,@,New York Giants
200009250clt,4,Mon,2000-09-25,Jaguars,0,14,0,0,2000,Colts,7,14,5,17,9/25/2000,9:00PM,Indianapolis Colts,,Jacksonville Jaguars
200010010buf,5,Sun,2000-10-01,Colts,0,7,0,11,2000,Bills,3,6,0,7,10/1/2000,1:01PM,Indianapolis Colts,@,Buffalo Bills
200010010det,5,Sun,2000-10-01,Vikings,7,3,7,14,2000,Lions,7,3,0,14,10/1/2000,1:01PM,Minnesota Vikings,@,Detroit Lions
200010010car,5,Sun,2000-10-01,Cowboys,0,10,3,0,2000,Panthers,0,10,0,3,10/1/2000,1:02PM,Dallas Cowboys,@,Carolina Panthers
200010010ram,5,Sun,2000-10-01,Chargers,3,7,7,14,2000,Rams,17,13,17,10,10/1/2000,1:02PM,St. Louis Rams,,San Diego Chargers
200010010oti,5,Sun,2000-10-01,Giants,0,0,7,7,2000,Titans,7,14,0,7,10/1/2000,1:03PM,Tennessee Titans,,New York Giants
200010010cle,5,Sun,2000-10-01,Ravens,3,6,3,0,2000,Browns,0,0,0,0,10/1/2000,1:03PM,Pittsburgh Steelers,@,Jacksonville Jaguars
200010010jax,5,Sun,2000-10-01,Steelers,7,10,7,0,2000,Jaguars,3,3,0,7,10/1/2000,1:03PM,Baltimore Ravens,@,Cleveland Browns
200010010cin,5,Sun,2000-10-01,Dolphins,0,10,14,7,2000,Bengals,10,3,0,3,10/1/2000,4:05PM,Miami Dolphins,@,Cincinnati Bengals
200010010den,5,Sun,2000-10-01,Patriots,14,7,7,0,2000,Broncos,0,3,8,8,10/1/2000,4:06PM,New England Patriots,@,Denver Broncos
200010010sfo,5,Sun,2000-10-01,Cardinals,0,10,0,10,2000,49ers,7,10,7,3,10/1/2000,4:15PM,San Francisco 49ers,,Arizona Cardinals
200010010gnb,5,Sun,2000-10-01,Bears,10,7,7,3,2000,Packers,0,3,7,14,10/1/2000,4:15PM,Chicago Bears,@,Green Bay Packers
200010010was,5,Sun,2000-10-01,Buccaneers,7,0,0,10,2000,Redskins,0,7,3,7,10/1/2000,4:15PM,Washington Redskins,,Tampa Bay Buccaneers
200010010phi,5,Sun,2000-10-01,Falcons,0,0,7,3,2000,Eagles,3,3,11,21,10/1/2000,8:36PM,Philadelphia Eagles,,Atlanta Falcons
200010020kan,5,Mon,2000-10-02,Seahawks,7,7,3,0,2000,Chiefs,0,7,7,10,10/2/2000,9:00PM,Kansas City Chiefs,,Seattle Seahawks
200010080cin,6,Sun,2000-10-08,Titans,3,7,10,3,2000,Bengals,0,14,0,0,10/8/2000,1:00PM,Tennessee Titans,@,Cincinnati Bengals
200010080nyj,6,Sun,2000-10-08,Steelers,3,7,0,10,2000,Jets,0,3,0,0,10/8/2000,1:01PM,Pittsburgh Steelers,@,New York Jets
200010080det,6,Sun,2000-10-08,Packers,0,6,11,7,2000,Lions,10,14,7,0,10/8/2000,1:01PM,Detroit Lions,,Green Bay Packers
200010080nwe,6,Sun,2000-10-08,Colts,0,10,3,3,2000,Patriots,3,7,0,14,10/8/2000,1:02PM,Miami Dolphins,,Buffalo Bills
200010080mia,6,Sun,2000-10-08,Bills,3,0,0,10,2000,Dolphins,3,10,2,7,10/8/2000,1:02PM,New England Patriots,,Indianapolis Colts
200010080phi,6,Sun,2000-10-08,Redskins,7,0,0,10,2000,Eagles,0,7,0,7,10/8/2000,1:02PM,Washington Redskins,@,Philadelphia Eagles
200010080chi,6,Sun,2000-10-08,Saints,0,17,7,7,2000,Bears,7,0,0,3,10/8/2000,1:03PM,New Orleans Saints,@,Chicago Bears
200010080sfo,6,Sun,2000-10-08,Raiders,3,3,15,7,2000,49ers,0,14,0,14,10/8/2000,4:00PM,Oakland Raiders,@,San Francisco 49ers
200010080atl,6,Sun,2000-10-08,Giants,10,3,0,0,2000,Falcons,0,3,3,0,10/8/2000,4:05PM,New York Giants,@,Atlanta Falcons
200010080car,6,Sun,2000-10-08,Seahawks,0,0,3,0,2000,Panthers,7,13,3,3,10/8/2000,4:15PM,Carolina Panthers,,Seattle Seahawks
200010080sdg,6,Sun,2000-10-08,Broncos,7,0,7,7,2000,Chargers,0,7,0,0,10/8/2000,4:15PM,Denver Broncos,@,San Diego Chargers
200010080crd,6,Sun,2000-10-08,Browns,7,7,0,7,2000,Cardinals,0,16,10,3,10/8/2000,4:15PM,Arizona Cardinals,,Cleveland Browns
200010080jax,6,Sun,2000-10-08,Ravens,3,3,3,6,2000,Jaguars,3,0,0,7,10/8/2000,8:35PM,Baltimore Ravens,@,Jacksonville Jaguars
200010090min,6,Mon,2000-10-09,Buccaneers,7,3,6,7,2000,Vikings,7,10,3,10,10/9/2000,9:10PM,Minnesota Vikings,,Tampa Bay Buccaneers
200010150kan,7,Sun,2000-10-15,Raiders,7,0,3,10,2000,Chiefs,0,17,0,0,10/15/2000,1:00PM,Oakland Raiders,@,Kansas City Chiefs
200010150buf,7,Sun,2000-10-15,Chargers,3,7,14,0,2000,Bills,0,14,0,10,10/15/2000,1:01PM,Pittsburgh Steelers,,Cincinnati Bengals
200010150pit,7,Sun,2000-10-15,Bengals,0,0,0,0,2000,Steelers,7,3,3,2,10/15/2000,1:01PM,Buffalo Bills,,San Diego Chargers
200010150was,7,Sun,2000-10-15,Ravens,0,3,0,0,2000,Redskins,0,3,0,7,10/15/2000,1:01PM,Washington Redskins,,Baltimore Ravens
200010150ram,7,Sun,2000-10-15,Falcons,14,7,0,8,2000,Rams,7,22,8,8,10/15/2000,1:02PM,St. Louis Rams,,Atlanta Falcons
200010150nyg,7,Sun,2000-10-15,Cowboys,0,0,14,0,2000,Giants,0,7,6,6,10/15/2000,1:03PM,New York Giants,,Dallas Cowboys
200010150nor,7,Sun,2000-10-15,Panthers,0,6,0,0,2000,Saints,0,10,0,14,10/15/2000,1:04PM,New Orleans Saints,,Carolina Panthers
200010150sea,7,Sun,2000-10-15,Colts,7,13,14,3,2000,Seahawks,0,17,0,7,10/15/2000,4:05PM,Indianapolis Colts,@,Seattle Seahawks
200010150nwe,7,Sun,2000-10-15,Jets,14,10,7,3,2000,Patriots,3,7,0,7,10/15/2000,4:05PM,New York Jets,@,New England Patriots
200010150den,7,Sun,2000-10-15,Browns,3,0,7,0,2000,Broncos,3,17,14,10,10/15/2000,4:06PM,Denver Broncos,,Cleveland Browns
200010150crd,7,Sun,2000-10-15,Eagles,7,10,7,9,2000,Cardinals,0,0,7,7,10/15/2000,4:15PM,Philadelphia Eagles,@,Arizona Cardinals
200010150gnb,7,Sun,2000-10-15,49ers,0,7,7,14,2000,Packers,7,7,7,10,10/15/2000,4:15PM,Green Bay Packers,,San Francisco 49ers
200010150chi,7,Sun,2000-10-15,Vikings,0,14,7,7,2000,Bears,6,3,0,7,10/15/2000,8:35PM,Minnesota Vikings,@,Chicago Bears
200010160oti,7,Mon,2000-10-16,Jaguars,3,0,0,10,2000,Titans,7,10,7,3,10/16/2000,9:10PM,Tennessee Titans,,Jacksonville Jaguars
200010190tam,8,Thu,2000-10-19,Lions,0,11,3,14,2000,Buccaneers,6,5,0,3,10/19/2000,8:35PM,Detroit Lions,@,Tampa Bay Buccaneers
200010220dal,8,Sun,2000-10-22,Cardinals,0,0,0,7,2000,Cowboys,14,13,14,7,10/22/2000,1:00PM,Dallas Cowboys,,Arizona Cardinals
200010220clt,8,Sun,2000-10-22,Patriots,7,6,10,0,2000,Colts,7,0,7,16,10/22/2000,1:00PM,Kansas City Chiefs,,St. Louis Rams
200010220kan,8,Sun,2000-10-22,Rams,0,14,14,6,2000,Chiefs,20,7,13,14,10/22/2000,1:00PM,Indianapolis Colts,,New England Patriots
200010220cin,8,Sun,2000-10-22,Broncos,7,7,0,7,2000,Bengals,0,10,7,14,10/22/2000,1:00PM,Cincinnati Bengals,,Denver Broncos
200010220min,8,Sun,2000-10-22,Bills,0,10,7,10,2000,Vikings,3,3,7,18,10/22/2000,1:02PM,Tennessee Titans,@,Baltimore Ravens
200010220car,8,Sun,2000-10-22,49ers,0,13,3,0,2000,Panthers,7,17,7,3,10/22/2000,1:02PM,Minnesota Vikings,,Buffalo Bills
200010220rav,8,Sun,2000-10-22,Titans,0,7,7,0,2000,Ravens,3,3,0,0,10/22/2000,1:02PM,Carolina Panthers,,San Francisco 49ers
200010220phi,8,Sun,2000-10-22,Bears,0,0,0,9,2000,Eagles,3,7,3,0,10/22/2000,1:03PM,Philadelphia Eagles,,Chicago Bears
200010220atl,8,Sun,2000-10-22,Saints,7,0,7,7,2000,Falcons,3,10,0,6,10/22/2000,1:05PM,New Orleans Saints,@,Atlanta Falcons
200010220rai,8,Sun,2000-10-22,Seahawks,3,0,0,0,2000,Raiders,7,14,0,10,10/22/2000,4:05PM,Oakland Raiders,,Seattle Seahawks
200010220pit,8,Sun,2000-10-22,Browns,0,0,0,0,2000,Steelers,3,10,3,6,10/22/2000,4:05PM,Pittsburgh Steelers,,Cleveland Browns
200010220jax,8,Sun,2000-10-22,Redskins,7,14,7,7,2000,Jaguars,3,13,0,0,10/22/2000,4:15PM,Washington Redskins,@,Jacksonville Jaguars
200010230nyj,8,Mon,2000-10-23,Dolphins,17,6,7,7,2000,Jets,0,7,0,30,10/23/2000,9:10PM,New York Jets,,Miami Dolphins
200010290tam,9,Sun,2000-10-29,Vikings,3,10,0,0,2000,Buccaneers,14,17,3,7,10/29/2000,1:01PM,Tampa Bay Buccaneers,,Minnesota Vikings
200010290buf,9,Sun,2000-10-29,Jets,7,0,10,3,2000,Bills,7,10,0,6,10/29/2000,1:01PM,Buffalo Bills,,New York Jets
200010290mia,9,Sun,2000-10-29,Packers,10,7,0,3,2000,Dolphins,0,7,21,0,10/29/2000,1:02PM,Miami Dolphins,,Green Bay Packers
200010290rav,9,Sun,2000-10-29,Steelers,0,0,9,0,2000,Ravens,0,6,0,0,10/29/2000,1:02PM,Pittsburgh Steelers,@,Baltimore Ravens
200010290atl,9,Sun,2000-10-29,Panthers,3,3,3,3,2000,Falcons,3,0,0,10,10/29/2000,1:02PM,Atlanta Falcons,,Carolina Panthers
200010290cle,9,Sun,2000-10-29,Bengals,0,7,3,2,2000,Browns,0,0,3,0,10/29/2000,1:03PM,Cincinnati Bengals,@,Cleveland Browns
200010290clt,9,Sun,2000-10-29,Lions,0,0,11,7,2000,Colts,7,16,0,7,10/29/2000,2:00PM,Indianapolis Colts,,Detroit Lions
200010290crd,9,Sun,2000-10-29,Saints,7,0,7,7,2000,Cardinals,7,3,0,0,10/29/2000,4:05PM,St. Louis Rams,@,San Francisco 49ers
200010290sfo,9,Sun,2000-10-29,Rams,7,7,10,10,2000,49ers,7,10,7,0,10/29/2000,4:05PM,New Orleans Saints,@,Arizona Cardinals
200010290nyg,9,Sun,2000-10-29,Eagles,0,0,0,7,2000,Giants,7,7,0,10,10/29/2000,4:07PM,New York Giants,,Philadelphia Eagles
200010290dal,9,Sun,2000-10-29,Jaguars,0,17,0,0,2000,Cowboys,7,0,3,7,10/29/2000,4:15PM,Jacksonville Jaguars,@,Dallas Cowboys
200010290sea,9,Sun,2000-10-29,Chiefs,7,14,0,3,2000,Seahawks,3,7,0,9,10/29/2000,4:16PM,Kansas City Chiefs,@,Seattle Seahawks
200010290sdg,9,Sun,2000-10-29,Raiders,9,3,0,3,2000,Chargers,0,0,7,6,10/29/2000,8:35PM,Oakland Raiders,@,San Diego Chargers
200010300was,9,Mon,2000-10-30,Titans,0,20,0,7,2000,Redskins,7,0,7,7,10/30/2000,9:01PM,Tennessee Titans,@,Washington Redskins
200011050det,10,Sun,2000-11-05,Dolphins,14,3,6,0,2000,Lions,0,0,0,8,11/5/2000,1:01PM,Miami Dolphins,@,Detroit Lions
200011050nor,10,Sun,2000-11-05,49ers,0,0,7,8,2000,Saints,7,21,3,0,11/5/2000,1:02PM,Buffalo Bills,@,New England Patriots
200011050chi,10,Sun,2000-11-05,Colts,0,0,8,16,2000,Bears,10,10,7,0,11/5/2000,1:02PM,Chicago Bears,,Indianapolis Colts
200011050nwe,10,Sun,2000-11-05,Bills,3,7,0,3,2000,Patriots,0,3,0,10,11/5/2000,1:02PM,New Orleans Saints,,San Francisco 49ers
200011050atl,10,Sun,2000-11-05,Buccaneers,7,7,3,10,2000,Falcons,0,0,7,7,11/5/2000,1:02PM,Tampa Bay Buccaneers,@,Atlanta Falcons
200011050phi,10,Sun,2000-11-05,Cowboys,0,7,3,3,2000,Eagles,0,0,0,13,11/5/2000,1:03PM,Philadelphia Eagles,,Dallas Cowboys
200011050oti,10,Sun,2000-11-05,Steelers,0,0,0,7,2000,Titans,0,3,0,6,11/5/2000,1:03PM,Tennessee Titans,,Pittsburgh Steelers
200011050cin,10,Sun,2000-11-05,Ravens,3,21,0,3,2000,Bengals,0,0,7,0,11/5/2000,1:03PM,Baltimore Ravens,@,Cincinnati Bengals
200011050cle,10,Sun,2000-11-05,Giants,0,10,7,7,2000,Browns,3,0,0,0,11/5/2000,1:03PM,New York Giants,@,Cleveland Browns
200011050rai,10,Sun,2000-11-05,Chiefs,0,10,7,14,2000,Raiders,14,14,7,14,11/5/2000,1:15PM,Oakland Raiders,,Kansas City Chiefs
200011050crd,10,Sun,2000-11-05,Redskins,3,9,3,0,2000,Cardinals,10,0,6,0,11/5/2000,4:05PM,Arizona Cardinals,,Washington Redskins
200011050sea,10,Sun,2000-11-05,Chargers,0,3,9,3,2000,Seahawks,0,14,0,3,11/5/2000,4:15PM,Denver Broncos,@,New York Jets
200011050nyj,10,Sun,2000-11-05,Broncos,10,10,3,7,2000,Jets,0,10,10,3,11/5/2000,4:15PM,Seattle Seahawks,,San Diego Chargers
200011050ram,10,Sun,2000-11-05,Panthers,6,7,3,11,2000,Rams,7,3,14,0,11/5/2000,8:35PM,Carolina Panthers,@,St. Louis Rams
200011060gnb,10,Mon,2000-11-06,Vikings,3,10,7,0,2000,Packers,0,10,10,0,11/6/2000,9:09PM,Green Bay Packers,,Minnesota Vikings
200011120dal,11,Sun,2000-11-12,Bengals,0,6,0,0,2000,Cowboys,0,7,13,3,11/12/2000,1:00PM,Dallas Cowboys,,Cincinnati Bengals
200011120min,11,Sun,2000-11-12,Cardinals,7,0,0,7,2000,Vikings,7,3,7,14,11/12/2000,1:00PM,Minnesota Vikings,,Arizona Cardinals
200011120pit,11,Sun,2000-11-12,Eagles,3,7,3,10,2000,Steelers,0,6,7,10,11/12/2000,1:01PM,Detroit Lions,,Atlanta Falcons
200011120det,11,Sun,2000-11-12,Falcons,0,7,3,0,2000,Lions,7,0,0,6,11/12/2000,1:01PM,Philadelphia Eagles,@,Pittsburgh Steelers
200011120car,11,Sun,2000-11-12,Saints,0,7,7,6,2000,Panthers,0,3,0,7,11/12/2000,1:02PM,Seattle Seahawks,@,Jacksonville Jaguars
200011120buf,11,Sun,2000-11-12,Bears,0,3,0,0,2000,Bills,0,6,7,7,11/12/2000,1:02PM,Buffalo Bills,,Chicago Bears
200011120jax,11,Sun,2000-11-12,Seahawks,0,14,7,7,2000,Jaguars,7,14,0,0,11/12/2000,1:02PM,New Orleans Saints,@,Carolina Panthers
200011120oti,11,Sun,2000-11-12,Ravens,7,10,0,7,2000,Titans,0,14,0,9,11/12/2000,1:03PM,Baltimore Ravens,@,Tennessee Titans
200011120cle,11,Sun,2000-11-12,Patriots,3,0,0,8,2000,Browns,3,10,3,3,11/12/2000,1:03PM,Cleveland Browns,,New England Patriots
200011120sfo,11,Sun,2000-11-12,Chiefs,0,0,0,7,2000,49ers,0,21,0,0,11/12/2000,4:00PM,San Francisco 49ers,,Kansas City Chiefs
200011120sdg,11,Sun,2000-11-12,Dolphins,7,7,3,0,2000,Chargers,0,0,0,7,11/12/2000,4:05PM,Miami Dolphins,@,San Diego Chargers
200011120tam,11,Sun,2000-11-12,Packers,0,3,6,6,2000,Buccaneers,0,14,0,6,11/12/2000,4:15PM,St. Louis Rams,@,New York Giants
200011120nyg,11,Sun,2000-11-12,Rams,14,14,10,0,2000,Giants,0,7,10,7,11/12/2000,4:15PM,Tampa Bay Buccaneers,,Green Bay Packers
200011120clt,11,Sun,2000-11-12,Jets,0,0,7,8,2000,Colts,7,10,3,3,11/12/2000,8:35PM,Indianapolis Colts,,New York Jets
200011130den,11,Mon,2000-11-13,Raiders,3,7,0,14,2000,Broncos,7,0,14,6,11/13/2000,9:09PM,Denver Broncos,,Oakland Raiders
200011190min,12,Sun,2000-11-19,Panthers,7,7,0,3,2000,Vikings,14,10,7,0,11/19/2000,1:00PM,Buffalo Bills,@,Kansas City Chiefs
200011190kan,12,Sun,2000-11-19,Bills,7,0,0,14,2000,Chiefs,0,3,7,7,11/19/2000,1:00PM,Minnesota Vikings,,Carolina Panthers
200011190nwe,12,Sun,2000-11-19,Bengals,0,10,3,0,2000,Patriots,7,3,0,6,11/19/2000,1:02PM,Philadelphia Eagles,,Arizona Cardinals
200011190phi,12,Sun,2000-11-19,Cardinals,3,0,0,6,2000,Eagles,0,10,7,17,11/19/2000,1:02PM,Oakland Raiders,@,New Orleans Saints
200011190nor,12,Sun,2000-11-19,Raiders,3,14,0,14,2000,Saints,0,7,6,9,11/19/2000,1:02PM,New England Patriots,,Cincinnati Bengals
200011190gnb,12,Sun,2000-11-19,Colts,0,0,3,21,2000,Packers,5,14,0,7,11/19/2000,1:02PM,Green Bay Packers,,Indianapolis Colts
200011190nyg,12,Sun,2000-11-19,Lions,0,21,7,3,2000,Giants,0,0,14,7,11/19/2000,1:03PM,Detroit Lions,@,New York Giants
200011190oti,12,Sun,2000-11-19,Browns,0,0,10,0,2000,Titans,0,0,14,10,11/19/2000,1:03PM,Tennessee Titans,,Cleveland Browns
200011190chi,12,Sun,2000-11-19,Buccaneers,0,3,7,0,2000,Bears,3,7,0,3,11/19/2000,1:04PM,Chicago Bears,,Tampa Bay Buccaneers
200011190mia,12,Sun,2000-11-19,Jets,3,3,0,14,2000,Dolphins,0,3,0,0,11/19/2000,4:05PM,Denver Broncos,,San Diego Chargers
200011190den,12,Sun,2000-11-19,Chargers,3,21,10,3,2000,Broncos,0,10,7,21,11/19/2000,4:05PM,New York Jets,@,Miami Dolphins
200011190rav,12,Sun,2000-11-19,Cowboys,0,0,0,0,2000,Ravens,10,7,0,10,11/19/2000,4:15PM,Baltimore Ravens,,Dallas Cowboys
