,GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4,Date,Time,RQ1,RQ2,RQ3,RQ4,Win,Winner
28,200009100crd,2,Sun,2000-09-10,Cowboys,7,14,3,7,2000,Cardinals,3,10,10,9,9/10/2000,8:35PM,V,V,H,H,-1,HW
29,200009110nyj,2,Mon,2000-09-11,Patriots,3,9,0,7,2000,Jets,7,0,0,13,9/11/2000,9:09PM,H,VV,T,H,-1,HW
30,200009170jax,3,Sun,2000-09-17,Bengals,0,0,0,0,2000,Jaguars,10,0,0,3,9/17/2000,1:02PM,HH,T,T,H,-13,HW
31,200009170cle,3,Sun,2000-09-17,Steelers,0,10,10,0,2000,Browns,14,0,3,6,9/17/2000,1:02PM,HH,VV,V,H,-3,HW
32,200009170gnb,3,Sun,2000-09-17,Eagles,0,3,0,0,2000,Packers,0,0,3,3,9/17/2000,1:02PM,T,V,H,H,-3,HW
33,200009170car,3,Sun,2000-09-17,Falcons,3,7,0,5,2000,Panthers,0,10,0,0,9/17/2000,1:02PM,V,H,T,V,5,VW
34,200009170ram,3,Sun,2000-09-17,49ers,7,10,0,7,2000,Rams,3,14,7,17,9/17/2000,1:02PM,V,H,H,HH,-17,HW
35,200009170nyj,3,Sun,2000-09-17,Bills,7,7,0,0,2000,Jets,7,14,3,3,9/17/2000,1:03PM,T,H,H,H,-13,HW
36,200009170det,3,Sun,2000-09-17,Buccaneers,14,7,3,7,2000,Lions,3,7,0,0,9/17/2000,1:06PM,VV,T,V,V,21,VW
37,200009170chi,3,Sun,2000-09-17,Giants,7,0,7,0,2000,Bears,0,7,0,0,9/17/2000,3:16PM,V,H,V,T,7,VW
38,200009170rai,3,Sun,2000-09-17,Broncos,17,7,3,6,2000,Raiders,7,17,0,0,9/17/2000,4:05PM,VV,HH,V,V,9,VW
39,200009170kan,3,Sun,2000-09-17,Chargers,10,0,0,0,2000,Chiefs,0,14,14,14,9/17/2000,4:05PM,VV,HH,HH,HH,-32,HW
40,200009170sea,3,Sun,2000-09-17,Saints,7,3,0,0,2000,Seahawks,7,0,3,10,9/17/2000,4:15PM,T,V,H,HH,-10,HW
41,200009170nwe,3,Sun,2000-09-17,Vikings,7,14,0,0,2000,Patriots,7,0,0,6,9/17/2000,4:15PM,T,VV,T,H,8,VW
42,200009170mia,3,Sun,2000-09-17,Ravens,0,0,3,3,2000,Dolphins,3,3,7,6,9/17/2000,8:36PM,H,H,H,H,-13,HW
43,200009180was,3,Mon,2000-09-18,Cowboys,7,7,3,10,2000,Redskins,7,0,7,7,9/18/2000,9:01PM,T,V,H,V,6,VW
44,200009240pit,4,Sun,2000-09-24,Titans,10,0,3,10,2000,Steelers,3,3,0,14,9/24/2000,1:01PM,V,H,V,H,3,VW
45,200009240rav,4,Sun,2000-09-24,Bengals,0,0,0,0,2000,Ravens,10,14,3,10,9/24/2000,1:02PM,HH,HH,H,HH,-37,HW
46,200009240chi,4,Sun,2000-09-24,Lions,7,7,0,7,2000,Bears,0,0,14,0,9/24/2000,1:02PM,V,V,HH,V,7,VW
47,200009240nor,4,Sun,2000-09-24,Eagles,0,14,7,0,2000,Saints,7,0,0,0,9/24/2000,1:02PM,H,VV,V,T,14,VW
48,200009240atl,4,Sun,2000-09-24,Rams,3,14,10,14,2000,Falcons,7,6,0,7,9/24/2000,1:02PM,H,VV,VV,V,21,VW
49,200009240mia,4,Sun,2000-09-24,Patriots,0,3,0,0,2000,Dolphins,0,10,0,0,9/24/2000,1:03PM,T,H,T,T,-7,HW
50,200009240dal,4,Sun,2000-09-24,49ers,3,14,10,14,2000,Cowboys,0,10,0,14,9/24/2000,1:05PM,V,V,VV,T,17,VW
51,200009240crd,4,Sun,2000-09-24,Packers,7,10,6,6,2000,Cardinals,0,3,0,0,9/24/2000,4:06PM,V,V,V,V,26,VW
52,200009240tam,4,Sun,2000-09-24,Jets,3,3,0,15,2000,Buccaneers,3,7,7,0,9/24/2000,4:15PM,T,H,H,VVV,4,VW
53,200009240sdg,4,Sun,2000-09-24,Seahawks,10,3,7,0,2000,Chargers,6,6,0,0,9/24/2000,4:15PM,V,H,V,T,8,VW
54,200009240den,4,Sun,2000-09-24,Chiefs,7,0,7,9,2000,Broncos,3,9,10,0,9/24/2000,4:16PM,V,HH,H,VV,1,VW
55,200009240rai,4,Sun,2000-09-24,Browns,7,0,3,0,2000,Raiders,7,21,0,8,9/24/2000,4:17PM,T,HHH,V,HH,-26,HW
56,200009240nyg,4,Sun,2000-09-24,Redskins,0,10,6,0,2000,Giants,0,0,0,6,9/24/2000,8:37PM,T,VV,V,H,10,VW
57,200009250clt,4,Mon,2000-09-25,Jaguars,0,14,0,0,2000,Colts,7,14,5,17,9/25/2000,9:00PM,H,T,H,HHH,-29,HW
58,200010010buf,5,Sun,2000-10-01,Colts,0,7,0,11,2000,Bills,3,6,0,7,10/1/2000,1:01PM,H,V,T,V,2,VW
59,200010010det,5,Sun,2000-10-01,Vikings,7,3,7,14,2000,Lions,7,3,0,14,10/1/2000,1:01PM,T,T,V,T,7,VW
60,200010010car,5,Sun,2000-10-01,Cowboys,0,10,3,0,2000,Panthers,0,10,0,3,10/1/2000,1:02PM,T,T,V,H,0,T
61,200010010ram,5,Sun,2000-10-01,Chargers,3,7,7,14,2000,Rams,17,13,17,10,10/1/2000,1:02PM,HH,H,HH,V,-26,HW
62,200010010oti,5,Sun,2000-10-01,Giants,0,0,7,7,2000,Titans,7,14,0,7,10/1/2000,1:03PM,H,HH,V,T,-14,HW
63,200010010cle,5,Sun,2000-10-01,Ravens,3,6,3,0,2000,Browns,0,0,0,0,10/1/2000,1:03PM,V,V,V,T,12,VW
64,200010010jax,5,Sun,2000-10-01,Steelers,7,10,7,0,2000,Jaguars,3,3,0,7,10/1/2000,1:03PM,V,V,V,H,11,VW
65,200010010cin,5,Sun,2000-10-01,Dolphins,0,10,14,7,2000,Bengals,10,3,0,3,10/1/2000,4:05PM,HH,V,VV,V,15,VW
66,200010010den,5,Sun,2000-10-01,Patriots,14,7,7,0,2000,Broncos,0,3,8,8,10/1/2000,4:06PM,VV,V,H,HH,9,VW
67,200010010sfo,5,Sun,2000-10-01,Cardinals,0,10,0,10,2000,49ers,7,10,7,3,10/1/2000,4:15PM,H,T,H,V,-7,HW
68,200010010gnb,5,Sun,2000-10-01,Bears,10,7,7,3,2000,Packers,0,3,7,14,10/1/2000,4:15PM,VV,V,T,HH,3,VW
69,200010010was,5,Sun,2000-10-01,Buccaneers,7,0,0,10,2000,Redskins,0,7,3,7,10/1/2000,4:15PM,V,H,H,V,0,T
70,200010010phi,5,Sun,2000-10-01,Falcons,0,0,7,3,2000,Eagles,3,3,11,21,10/1/2000,8:36PM,H,H,H,HHH,-28,HW
71,200010020kan,5,Mon,2000-10-02,Seahawks,7,7,3,0,2000,Chiefs,0,7,7,10,10/2/2000,9:00PM,V,T,H,HH,-7,HW
72,200010080cin,6,Sun,2000-10-08,Titans,3,7,10,3,2000,Bengals,0,14,0,0,10/8/2000,1:00PM,V,H,VV,V,9,VW
73,200010080nyj,6,Sun,2000-10-08,Steelers,3,7,0,10,2000,Jets,0,3,0,0,10/8/2000,1:01PM,V,V,T,VV,17,VW
74,200010080det,6,Sun,2000-10-08,Packers,0,6,11,7,2000,Lions,10,14,7,0,10/8/2000,1:01PM,HH,HH,V,V,-7,HW
75,200010080nwe,6,Sun,2000-10-08,Colts,0,10,3,3,2000,Patriots,3,7,0,14,10/8/2000,1:02PM,H,V,V,HH,-8,HW
76,200010080mia,6,Sun,2000-10-08,Bills,3,0,0,10,2000,Dolphins,3,10,2,7,10/8/2000,1:02PM,T,HH,H,V,-9,HW
77,200010080phi,6,Sun,2000-10-08,Redskins,7,0,0,10,2000,Eagles,0,7,0,7,10/8/2000,1:02PM,V,H,T,V,3,VW
78,200010080chi,6,Sun,2000-10-08,Saints,0,17,7,7,2000,Bears,7,0,0,3,10/8/2000,1:03PM,H,VVV,V,V,21,VW
79,200010080sfo,6,Sun,2000-10-08,Raiders,3,3,15,7,2000,49ers,0,14,0,14,10/8/2000,4:00PM,V,HH,VVV,H,0,T
80,200010080atl,6,Sun,2000-10-08,Giants,10,3,0,0,2000,Falcons,0,3,3,0,10/8/2000,4:05PM,VV,T,H,T,7,VW
81,200010080car,6,Sun,2000-10-08,Seahawks,0,0,3,0,2000,Panthers,7,13,3,3,10/8/2000,4:15PM,H,HH,T,H,-23,HW
82,200010080sdg,6,Sun,2000-10-08,Broncos,7,0,7,7,2000,Chargers,0,7,0,0,10/8/2000,4:15PM,V,H,V,V,14,VW
83,200010080crd,6,Sun,2000-10-08,Browns,7,7,0,7,2000,Cardinals,0,16,10,3,10/8/2000,4:15PM,V,HH,HH,V,-8,HW
84,200010080jax,6,Sun,2000-10-08,Ravens,3,3,3,6,2000,Jaguars,3,0,0,7,10/8/2000,8:35PM,T,V,V,H,5,VW
85,200010090min,6,Mon,2000-10-09,Buccaneers,7,3,6,7,2000,Vikings,7,10,3,10,10/9/2000,9:10PM,T,H,V,H,-7,HW
86,200010150kan,7,Sun,2000-10-15,Raiders,7,0,3,10,2000,Chiefs,0,17,0,0,10/15/2000,1:00PM,V,HHH,V,VV,3,VW
87,200010150buf,7,Sun,2000-10-15,Chargers,3,7,14,0,2000,Bills,0,14,0,10,10/15/2000,1:01PM,V,H,VV,HH,0,T
88,200010150pit,7,Sun,2000-10-15,Bengals,0,0,0,0,2000,Steelers,7,3,3,2,10/15/2000,1:01PM,H,H,H,H,-15,HW
89,200010150was,7,Sun,2000-10-15,Ravens,0,3,0,0,2000,Redskins,0,3,0,7,10/15/2000,1:01PM,T,T,T,H,-7,HW
90,200010150ram,7,Sun,2000-10-15,Falcons,14,7,0,8,2000,Rams,7,22,8,8,10/15/2000,1:02PM,V,HHH,HH,T,-16,HW
91,200010150nyg,7,Sun,2000-10-15,Cowboys,0,0,14,0,2000,Giants,0,7,6,6,10/15/2000,1:03PM,T,H,VV,H,-5,HW
92,200010150nor,7,Sun,2000-10-15,Panthers,0,6,0,0,2000,Saints,0,10,0,14,10/15/2000,1:04PM,T,H,T,HH,-18,HW
93,200010150sea,7,Sun,2000-10-15,Colts,7,13,14,3,2000,Seahawks,0,17,0,7,10/15/2000,4:05PM,V,H,VV,H,13,VW
94,200010150nwe,7,Sun,2000-10-15,Jets,14,10,7,3,2000,Patriots,3,7,0,7,10/15/2000,4:05PM,VV,V,V,H,17,VW
95,200010150den,7,Sun,2000-10-15,Browns,3,0,7,0,2000,Broncos,3,17,14,10,10/15/2000,4:06PM,T,HHH,H,HH,-34,HW
96,200010150crd,7,Sun,2000-10-15,Eagles,7,10,7,9,2000,Cardinals,0,0,7,7,10/15/2000,4:15PM,V,VV,T,V,19,VW
97,200010150gnb,7,Sun,2000-10-15,49ers,0,7,7,14,2000,Packers,7,7,7,10,10/15/2000,4:15PM,H,T,T,V,-3,HW
98,200010150chi,7,Sun,2000-10-15,Vikings,0,14,7,7,2000,Bears,6,3,0,7,10/15/2000,8:35PM,H,VV,V,T,12,VW
99,200010160oti,7,Mon,2000-10-16,Jaguars,3,0,0,10,2000,Titans,7,10,7,3,10/16/2000,9:10PM,H,HH,H,V,-14,HW
100,200010190tam,8,Thu,2000-10-19,Lions,0,11,3,14,2000,Buccaneers,6,5,0,3,10/19/2000,8:35PM,H,V,V,VV,14,VW
101,200010220dal,8,Sun,2000-10-22,Cardinals,0,0,0,7,2000,Cowboys,14,13,14,7,10/22/2000,1:00PM,HH,HH,HH,T,-41,HW
102,200010220clt,8,Sun,2000-10-22,Patriots,7,6,10,0,2000,Colts,7,0,7,16,10/22/2000,1:00PM,T,V,V,HHH,-7,HW
103,200010220kan,8,Sun,2000-10-22,Rams,0,14,14,6,2000,Chiefs,20,7,13,14,10/22/2000,1:00PM,HHH,V,V,HH,-20,HW
104,200010220cin,8,Sun,2000-10-22,Broncos,7,7,0,7,2000,Bengals,0,10,7,14,10/22/2000,1:00PM,V,H,H,H,-10,HW
105,200010220min,8,Sun,2000-10-22,Bills,0,10,7,10,2000,Vikings,3,3,7,18,10/22/2000,1:02PM,H,V,T,HH,-4,HW
106,200010220car,8,Sun,2000-10-22,49ers,0,13,3,0,2000,Panthers,7,17,7,3,10/22/2000,1:02PM,H,H,H,H,-18,HW
107,200010220rav,8,Sun,2000-10-22,Titans,0,7,7,0,2000,Ravens,3,3,0,0,10/22/2000,1:02PM,H,V,V,T,8,VW
108,200010220phi,8,Sun,2000-10-22,Bears,0,0,0,9,2000,Eagles,3,7,3,0,10/22/2000,1:03PM,H,H,H,VV,-4,HW
109,200010220atl,8,Sun,2000-10-22,Saints,7,0,7,7,2000,Falcons,3,10,0,6,10/22/2000,1:05PM,V,HH,V,V,2,VW
110,200010220rai,8,Sun,2000-10-22,Seahawks,3,0,0,0,2000,Raiders,7,14,0,10,10/22/2000,4:05PM,H,HH,T,HH,-28,HW
111,200010220pit,8,Sun,2000-10-22,Browns,0,0,0,0,2000,Steelers,3,10,3,6,10/22/2000,4:05PM,H,HH,H,H,-22,HW
112,200010220jax,8,Sun,2000-10-22,Redskins,7,14,7,7,2000,Jaguars,3,13,0,0,10/22/2000,4:15PM,V,V,V,V,19,VW
113,200010230nyj,8,Mon,2000-10-23,Dolphins,17,6,7,7,2000,Jets,0,7,0,30,10/23/2000,9:10PM,VVV,H,V,HHH,0,T
114,200010290tam,9,Sun,2000-10-29,Vikings,3,10,0,0,2000,Buccaneers,14,17,3,7,10/29/2000,1:01PM,HH,H,H,H,-28,HW
115,200010290buf,9,Sun,2000-10-29,Jets,7,0,10,3,2000,Bills,7,10,0,6,10/29/2000,1:01PM,T,HH,VV,H,-3,HW
116,200010290mia,9,Sun,2000-10-29,Packers,10,7,0,3,2000,Dolphins,0,7,21,0,10/29/2000,1:02PM,VV,T,HHH,V,-8,HW
117,200010290rav,9,Sun,2000-10-29,Steelers,0,0,9,0,2000,Ravens,0,6,0,0,10/29/2000,1:02PM,T,H,VV,T,3,VW
118,200010290atl,9,Sun,2000-10-29,Panthers,3,3,3,3,2000,Falcons,3,0,0,10,10/29/2000,1:02PM,T,V,V,H,-1,HW
119,200010290cle,9,Sun,2000-10-29,Bengals,0,7,3,2,2000,Browns,0,0,3,0,10/29/2000,1:03PM,T,V,T,V,9,VW
120,200010290clt,9,Sun,2000-10-29,Lions,0,0,11,7,2000,Colts,7,16,0,7,10/29/2000,2:00PM,H,HHH,VV,T,-12,HW
121,200010290crd,9,Sun,2000-10-29,Saints,7,0,7,7,2000,Cardinals,7,3,0,0,10/29/2000,4:05PM,T,H,V,V,11,VW
122,200010290sfo,9,Sun,2000-10-29,Rams,7,7,10,10,2000,49ers,7,10,7,0,10/29/2000,4:05PM,T,H,V,VV,10,VW
123,200010290nyg,9,Sun,2000-10-29,Eagles,0,0,0,7,2000,Giants,7,7,0,10,10/29/2000,4:07PM,H,H,T,H,-17,HW
124,200010290dal,9,Sun,2000-10-29,Jaguars,0,17,0,0,2000,Cowboys,7,0,3,7,10/29/2000,4:15PM,H,VVV,H,H,0,T
125,200010290sea,9,Sun,2000-10-29,Chiefs,7,14,0,3,2000,Seahawks,3,7,0,9,10/29/2000,4:16PM,V,V,T,H,5,VW
126,200010290sdg,9,Sun,2000-10-29,Raiders,9,3,0,3,2000,Chargers,0,0,7,6,10/29/2000,8:35PM,VV,V,H,H,2,VW
127,200010300was,9,Mon,2000-10-30,Titans,0,20,0,7,2000,Redskins,7,0,7,7,10/30/2000,9:01PM,H,VVV,H,T,6,VW
128,200011050det,10,Sun,2000-11-05,Dolphins,14,3,6,0,2000,Lions,0,0,0,8,11/5/2000,1:01PM,VV,V,V,HH,15,VW
129,200011050nor,10,Sun,2000-11-05,49ers,0,0,7,8,2000,Saints,7,21,3,0,11/5/2000,1:02PM,H,HHH,V,VV,-16,HW
130,200011050chi,10,Sun,2000-11-05,Colts,0,0,8,16,2000,Bears,10,10,7,0,11/5/2000,1:02PM,HH,HH,V,VVV,-3,HW
131,200011050nwe,10,Sun,2000-11-05,Bills,3,7,0,3,2000,Patriots,0,3,0,10,11/5/2000,1:02PM,V,V,T,H,0,T
132,200011050atl,10,Sun,2000-11-05,Buccaneers,7,7,3,10,2000,Falcons,0,0,7,7,11/5/2000,1:02PM,V,V,H,V,13,VW
133,200011050phi,10,Sun,2000-11-05,Cowboys,0,7,3,3,2000,Eagles,0,0,0,13,11/5/2000,1:03PM,T,V,V,HH,0,T
134,200011050oti,10,Sun,2000-11-05,Steelers,0,0,0,7,2000,Titans,0,3,0,6,11/5/2000,1:03PM,T,H,T,V,-2,HW
135,200011050cin,10,Sun,2000-11-05,Ravens,3,21,0,3,2000,Bengals,0,0,7,0,11/5/2000,1:03PM,V,VVV,H,V,20,VW
136,200011050cle,10,Sun,2000-11-05,Giants,0,10,7,7,2000,Browns,3,0,0,0,11/5/2000,1:03PM,H,VV,V,V,21,VW
137,200011050rai,10,Sun,2000-11-05,Chiefs,0,10,7,14,2000,Raiders,14,14,7,14,11/5/2000,1:15PM,HH,H,T,T,-18,HW
138,200011050crd,10,Sun,2000-11-05,Redskins,3,9,3,0,2000,Cardinals,10,0,6,0,11/5/2000,4:05PM,H,VV,H,T,-1,HW
139,200011050sea,10,Sun,2000-11-05,Chargers,0,3,9,3,2000,Seahawks,0,14,0,3,11/5/2000,4:15PM,T,HH,VV,T,-2,HW
140,200011050nyj,10,Sun,2000-11-05,Broncos,10,10,3,7,2000,Jets,0,10,10,3,11/5/2000,4:15PM,VV,T,H,V,7,VW
141,200011050ram,10,Sun,2000-11-05,Panthers,6,7,3,11,2000,Rams,7,3,14,0,11/5/2000,8:35PM,H,V,HH,VV,3,VW
142,200011060gnb,10,Mon,2000-11-06,Vikings,3,10,7,0,2000,Packers,0,10,10,0,11/6/2000,9:09PM,V,T,H,T,0,T
143,200011120dal,11,Sun,2000-11-12,Bengals,0,6,0,0,2000,Cowboys,0,7,13,3,11/12/2000,1:00PM,T,H,HH,H,-17,HW
144,200011120min,11,Sun,2000-11-12,Cardinals,7,0,0,7,2000,Vikings,7,3,7,14,11/12/2000,1:00PM,T,H,H,H,-17,HW
145,200011120pit,11,Sun,2000-11-12,Eagles,3,7,3,10,2000,Steelers,0,6,7,10,11/12/2000,1:01PM,V,V,H,T,0,T
146,200011120det,11,Sun,2000-11-12,Falcons,0,7,3,0,2000,Lions,7,0,0,6,11/12/2000,1:01PM,H,V,V,H,-3,HW
147,200011120car,11,Sun,2000-11-12,Saints,0,7,7,6,2000,Panthers,0,3,0,7,11/12/2000,1:02PM,T,V,V,H,10,VW
148,200011120buf,11,Sun,2000-11-12,Bears,0,3,0,0,2000,Bills,0,6,7,7,11/12/2000,1:02PM,T,H,H,H,-17,HW
149,200011120jax,11,Sun,2000-11-12,Seahawks,0,14,7,7,2000,Jaguars,7,14,0,0,11/12/2000,1:02PM,H,T,V,V,7,VW
150,200011120oti,11,Sun,2000-11-12,Ravens,7,10,0,7,2000,Titans,0,14,0,9,11/12/2000,1:03PM,V,H,T,H,1,VW
151,200011120cle,11,Sun,2000-11-12,Patriots,3,0,0,8,2000,Browns,3,10,3,3,11/12/2000,1:03PM,T,HH,H,V,-8,HW
152,200011120sfo,11,Sun,2000-11-12,Chiefs,0,0,0,7,2000,49ers,0,21,0,0,11/12/2000,4:00PM,T,HHH,T,V,-14,HW
153,200011120sdg,11,Sun,2000-11-12,Dolphins,7,7,3,0,2000,Chargers,0,0,0,7,11/12/2000,4:05PM,V,V,V,H,10,VW
154,200011120tam,11,Sun,2000-11-12,Packers,0,3,6,6,2000,Buccaneers,0,14,0,6,11/12/2000,4:15PM,T,HH,V,T,-5,HW
155,200011120nyg,11,Sun,2000-11-12,Rams,14,14,10,0,2000,Giants,0,7,10,7,11/12/2000,4:15PM,VV,V,T,H,14,VW
156,200011120clt,11,Sun,2000-11-12,Jets,0,0,7,8,2000,Colts,7,10,3,3,11/12/2000,8:35PM,H,HH,V,V,-8,HW
157,200011130den,11,Mon,2000-11-13,Raiders,3,7,0,14,2000,Broncos,7,0,14,6,11/13/2000,9:09PM,H,V,HH,VV,-3,HW
158,200011190min,12,Sun,2000-11-19,Panthers,7,7,0,3,2000,Vikings,14,10,7,0,11/19/2000,1:00PM,H,H,H,V,-14,HW
159,200011190kan,12,Sun,2000-11-19,Bills,7,0,0,14,2000,Chiefs,0,3,7,7,11/19/2000,1:00PM,V,H,H,V,4,VW
160,200011190nwe,12,Sun,2000-11-19,Bengals,0,10,3,0,2000,Patriots,7,3,0,6,11/19/2000,1:02PM,H,V,V,H,-3,HW
161,200011190phi,12,Sun,2000-11-19,Cardinals,3,0,0,6,2000,Eagles,0,10,7,17,11/19/2000,1:02PM,V,HH,H,HH,-25,HW
162,200011190nor,12,Sun,2000-11-19,Raiders,3,14,0,14,2000,Saints,0,7,6,9,11/19/2000,1:02PM,V,V,H,V,9,VW
163,200011190gnb,12,Sun,2000-11-19,Colts,0,0,3,21,2000,Packers,5,14,0,7,11/19/2000,1:02PM,H,HH,V,VV,-2,HW
164,200011190nyg,12,Sun,2000-11-19,Lions,0,21,7,3,2000,Giants,0,0,14,7,11/19/2000,1:03PM,T,VVV,H,H,10,VW
165,200011190oti,12,Sun,2000-11-19,Browns,0,0,10,0,2000,Titans,0,0,14,10,11/19/2000,1:03PM,T,T,H,HH,-14,HW
166,200011190chi,12,Sun,2000-11-19,Buccaneers,0,3,7,0,2000,Bears,3,7,0,3,11/19/2000,1:04PM,H,H,V,H,-3,HW
167,200011190mia,12,Sun,2000-11-19,Jets,3,3,0,14,2000,Dolphins,0,3,0,0,11/19/2000,4:05PM,V,T,T,VV,17,VW
168,200011190den,12,Sun,2000-11-19,Chargers,3,21,10,3,2000,Broncos,0,10,7,21,11/19/2000,4:05PM,V,VV,V,HHH,-1,HW
169,200011190rav,12,Sun,2000-11-19,Cowboys,0,0,0,0,2000,Ravens,10,7,0,10,11/19/2000,4:15PM,HH,H,T,HH,-27,HW
170,200011190sfo,12,Sun,2000-11-19,Falcons,0,3,3,0,2000,49ers,3,3,7,3,11/19/2000,4:16PM,H,T,H,H,-10,HW
171,200011190pit,12,Sun,2000-11-19,Jaguars,0,17,17,0,2000,Steelers,7,3,0,14,11/19/2000,8:35PM,H,VV,VVV,HH,10,VW
172,200011200ram,12,Mon,2000-11-20,Redskins,3,10,12,8,2000,Rams,10,3,7,0,11/20/2000,9:08PM,H,V,V,VV,13,VW
173,200011230det,13,Thu,2000-11-23,Patriots,6,0,3,0,2000,Lions,3,3,7,21,11/23/2000,12:36PM,V,H,H,HHH,-25,HW
174,200011230dal,13,Thu,2000-11-23,Vikings,0,10,17,0,2000,Cowboys,3,6,0,6,11/23/2000,4:08PM,H,V,VVV,H,12,VW
175,200011260tam,13,Sun,2000-11-26,Bills,0,7,0,10,2000,Buccaneers,3,7,0,21,11/26/2000,1:00PM,H,T,T,HH,-14,HW
176,200011260rav,13,Sun,2000-11-26,Browns,7,0,0,0,2000,Ravens,7,24,6,7,11/26/2000,1:01PM,T,HHH,H,H,-37,HW
177,200011260was,13,Sun,2000-11-26,Eagles,7,3,7,6,2000,Redskins,7,7,3,3,11/26/2000,1:01PM,T,H,V,V,3,VW
